zone,do_count
Homecrest,3287573
Governor's Island/Ellis Island/Liberty Island,663
Corona,3151290
Bensonhurst West,3673357
Westerleigh,711356
Newark Airport,6484967
Charleston/Tottenville,414223
Douglaston,613370
Mount Hope,5279235
Pelham Parkway,3352314
East Concourse/Concourse Village,5867469
Marble Hill,955339
Rego Park,2544670
Upper East Side South,9155062
Dyker Heights,1901071
Heartland Village/Todt Hill,1146528
Kew Gardens Hills,1885569
Jackson Heights,7884537
Bayside,2051999
TriBeCa/Civic Center,11169173
Yorkville West,6139677
Highbridge,3861800
Stuy Town/Peter Cooper Village,2234350
Flushing Meadows-Corona Park,1004922
Bushwick South,13035060
Riverdale/North Riverdale/Fieldston,1924866
Windsor Terrace,1757198
Old Astoria,3860589
West Concourse,5411458
Ocean Hill,5044080
Clinton Hill,6880976
Stuyvesant Heights,10098461
Freshkills Park,28150
Broad Channel,53763
Upper West Side North,5964008
Mariners Harbor,1159783
East Harlem South,7664465
Kensington,2210617
Oakland Gardens,812558
Springfield Gardens North,1842202
Crown Heights North,16682896
Longwood,2383901
Lenox Hill East,7357939
Hudson Sq,3359669
Norwood,4532290
Flushing,5289986
Upper East Side North,8730951
Columbia Street,608903
Starrett City,1284002
Prospect Park,976636
UN/Turtle Bay South,6220384
East Elmhurst,2049404
Country Club,319269
Long Island City/Hunters Point,8287855
New Dorp/Midland Beach,596011
Whitestone,1365108
Union Sq,11423002
Bedford Park,5206223
Bloomingdale,1633500
Midtown East,9509458
Long Island City/Queens Plaza,2954829
South Jamaica,2927134
Rossville/Woodrow,246486
Downtown Brooklyn/MetroTech,4789074
Glen Oaks,648899
Sunset Park West,5415112
Saint George/New Brighton,2256525
Bath Beach,1197415
East Flatbush/Remsen Village,5863089
Richmond Hill,4262640
East Harlem North,8127172
Washington Heights South,9156431
Canarsie,8223390
Van Cortlandt Village,4273160
Sutton Place/Turtle Bay North,5917734
Sheepshead Bay,3388152
Grymes Hill/Clifton,758572
Flatlands,5358194
LaGuardia Airport,19754658
Rikers Island,34
Hunts Point,3766809
Coney Island,2834951
Jamaica Estates,1688376
Parkchester,2571442
Astoria,10836638
City Island,241199
Garment District,5793016
Lower East Side,9575195
Erasmus,3545318
Madison,2540335
Cobble Hill,1478336
Gowanus,2118627
East Village,13872613
Hillcrest/Pomonok,2314311
Carroll Gardens,2592383
Lincoln Square East,7662346
Fort Greene,7107580
Marine Park/Mill Basin,3350653
Eastchester,2767623
Gramercy,8461620
Manhattan Valley,3373790
Briarwood/Jamaica Hills,2388264
Middle Village,2350692
Midtown South,10061433
Mott Haven/Port Morris,6748949
Battery Park City,5153127
Co-Op City,3938867
South Williamsburg,1906355
Cypress Hills,3454809
Glendale,2557828
Sunnyside,6858051
Elmhurst/Maspeth,2292880
Saint Albans,3817192
College Point,1578464
Manhattan Beach,1381201
Queens Village,2392138
Chinatown,2616671
Ridgewood,7025995
Bedford,10143058
Bronxdale,2648954
Melrose South,5155364
Midtown North,8090976
Steinway,5594962
West Brighton,744398
West Village,9288146
Baisley Park,3064620
Brooklyn Heights,5125288
Claremont/Bathgate,3694506
Sunset Park East,2789507
Breezy Point/Fort Tilden/Riis Beach,128219
Bushwick North,8919538
Kips Bay,6766881
Laurelton,1616781
Two Bridges/Seward Park,4801206
Financial District South,2744917
Port Richmond,627900
Astoria Park,45042
Little Italy/NoLiTa,7197452
Cambria Heights,963452
Roosevelt Island,821607
Jamaica Bay,2767
Great Kills Park,3107
Prospect-Lefferts Gardens,9003593
Midtown Center,12441683
East Flushing,1034837
Marine Park/Floyd Bennett Field,143693
World Trade Center,3980489
Woodhaven,3260029
Greenwich Village South,6563772
Lenox Hill West,7024132
Woodside,4792256
East New York/Pennsylvania Avenue,3400207
Randalls Island,406115
Belmont,3261746
Crotona Park East,2481330
Midwood,3336379
Soundview/Bruckner,2816092
Flatiron,6682130
Alphabet City,3436789
Fresh Meadows,976297
Meatpacking/West Village West,6331768
Ocean Parkway South,1144170
Flatbush/Ditmas Park,9544742
Upper West Side South,7045524
N/A,2090
Bay Ridge,6043804
Auburndale,906860
Central Park,2378965
Fordham South,2346162
Bensonhurst East,2784311
Spuyten Duyvil/Kingsbridge,3529897
Maspeth,2988096
Murray Hill-Queens,2055468
Inwood,4115951
University Heights/Morris Heights,4985394
Jamaica,7637548
Bellerose,694822
East New York,12395612
Clinton East,10048454
Great Kills,629991
South Ozone Park,5525419
SoHo,6266815
Pelham Bay,1254848
Queensbridge/Ravenswood,1536518
Arrochar/Fort Wadsworth,569454
Borough Park,5873566
Schuylerville/Edgewater Park,3364915
Manhattanville,2766410
Williamsburg (North Side),10491984
Bay Terrace/Fort Totten,723012
East Williamsburg,8739223
Queensboro Hill,1270911
Penn Station/Madison Sq West,10278606
Hammels/Arverne,1502287
Willets Point,62641
Central Harlem,7126559
Howard Beach,1417774
Lincoln Square West,4819750
West Chelsea/Hudson Yards,11532660
Greenwich Village North,6310766
Williamsburg (South Side),8982338
Murray Hill,10626282
Ozone Park,1605096
Clinton West,6059826
Rosedale,1448439
Battery Park,196613
Gravesend,1548358
Forest Hills,7140077
Allerton/Pelham Gardens,2293562
East Flatbush/Farragut,4967485
Forest Park/Highland Park,178160
Eltingville/Annadale/Prince's Bay,429417
Times Sq/Theatre District,11726136
Brownsville,6771779
East Chelsea,11439829
West Farms/Bronx River,2674246
Bronx Park,510978
Westchester Village/Unionport,2687845
Inwood Hill Park,338612
Brighton Beach,2224543
Red Hook,2095479
Oakwood,321234
Far Rockaway,1615580
Boerum Hill,5740147
Kew Gardens,2311572
Central Harlem North,10107464
Springfield Gardens South,1643859
Arden Heights,272603
Stapleton,1216625
Saint Michaels Cemetery/Woodside,255491
Rockaway Park,686275
East Tremont,4679927
Green-Wood Cemetery,54846
Van Nest/Morris Park,4325633
Highbridge Park,138089
Crotona Park,166963
DUMBO/Vinegar Hill,3682582
Financial District North,6724655
Hamilton Heights,5190000
South Beach/Dongan Hills,828954
Williamsbridge/Olinville,4651389
Outside of NYC,41572787
Prospect Heights,4032894
JFK Airport,21002099
Woodlawn/Wakefield,2721662
Pelham Bay Park,303126
Brooklyn Navy Yard,1044819
Morrisania/Melrose,4138352
Bloomfield/Emerson Hill,1781985
Seaport,2419593
Park Slope,10578913
Soundview/Castle Hill,5401117
North Corona,2416168
Kingsbridge Heights,3022824
Morningside Heights,5379868
Hollis,1107705
Yorkville East,3952382
Washington Heights North,6020151
Greenpoint,9345900
Crown Heights South,4221866
Elmhurst,7493454
Van Cortlandt Park,638871
