zone,overnight_count,rushhour_count,weekend_count
Homecrest,701765,2270092,782220
Governor's Island/Ellis Island/Liberty Island,58,139,58
Corona,940702,2249059,1133277
Bensonhurst West,823022,2528917,1057999
Westerleigh,179743,519481,219688
Charleston/Tottenville,107519,249310,126691
Douglaston,151828,452719,187738
Newark Airport,6909,13095,7265
East Concourse/Concourse Village,1784015,3953314,1814648
Mount Hope,1702038,3640551,1721537
Pelham Parkway,830201,2409947,927799
Marble Hill,320928,778935,363136
Rego Park,589628,1844646,802463
Heartland Village/Todt Hill,258256,749858,324215
Upper East Side South,2143637,6774812,2290571
Dyker Heights,405666,1264359,524236
Kew Gardens Hills,406663,1349052,480006
Rikers Island,97,277,74
Jackson Heights,2597954,5404121,2788650
Bayside,640593,1372991,655768
TriBeCa/Civic Center,4140289,8835913,3664577
Yorkville West,1771082,4250943,2023214
Highbridge,1222749,2594665,1263303
Stuy Town/Peter Cooper Village,654111,1733333,910087
Flushing Meadows-Corona Park,341321,469661,274628
Bushwick South,5056527,7490455,4864174
Riverdale/North Riverdale/Fieldston,402514,1375905,518018
Windsor Terrace,406539,1064806,523573
Old Astoria,980604,2423285,1242147
Ocean Hill,1675364,3321489,1697333
West Concourse,1846539,3762926,1794983
Clinton Hill,2154451,4393943,2359484
Stuyvesant Heights,3233086,6094286,3380119
Freshkills Park,8733,15811,7638
Broad Channel,19255,28580,20385
Upper West Side North,1491191,4441951,1855445
Mariners Harbor,286471,914068,370579
East Harlem South,1943580,5079053,2050369
Springfield Gardens North,572709,1552119,661599
Kensington,511292,1462155,640997
Oakland Gardens,149388,564072,196220
Longwood,746915,1653086,770974
Crown Heights North,5363715,10359205,5480327
Lenox Hill East,1490793,5140448,1710358
Hudson Sq,1239923,2620966,1114480
Norwood,1238294,3179261,1307653
Flushing,1673275,3385171,1716993
Upper East Side North,1656383,6187852,2215732
Columbia Street,177440,421524,199482
UN/Turtle Bay South,1667600,4598809,2020492
Starrett City,306600,913615,392904
Prospect Park,199208,453620,318954
East Elmhurst,614993,1551770,750717
Country Club,83242,224744,102792
Long Island City/Hunters Point,2505278,5149712,2872157
New Dorp/Midland Beach,139533,401159,172021
Whitestone,329048,911423,395565
Bedford Park,1537260,3545460,1649962
Union Sq,4391118,8609241,3590609
Bloomingdale,513873,1137056,561759
Midtown East,2814450,6885062,2041745
South Jamaica,833873,2320961,1015030
Long Island City/Queens Plaza,837123,1798413,1017705
Rossville/Woodrow,59421,166821,77814
Glen Oaks,187299,597497,221283
Downtown Brooklyn/MetroTech,1473836,3408041,1724481
Sunset Park West,1456069,3481033,1602407
Saint George/New Brighton,502903,1394657,583126
East Flatbush/Remsen Village,1794417,4025158,1908090
Bath Beach,272557,815391,338087
Richmond Hill,1211008,2991640,1394911
East Harlem North,2456674,5526162,2676100
Washington Heights South,2699165,5999971,2751869
Canarsie,2289511,5665580,2581977
Van Cortlandt Village,1293858,2884381,1374733
Sutton Place/Turtle Bay North,2121038,4897572,2147878
Sheepshead Bay,799475,2379662,933612
Grymes Hill/Clifton,183915,563650,232320
Flatlands,1444273,3803515,1649829
LaGuardia Airport,5045854,12562810,4480280
Hunts Point,1042671,2343150,979232
Coney Island,697338,1804231,818626
Jamaica Estates,380464,1154764,449203
Parkchester,689006,1924513,852136
Astoria,3622396,6783898,3969725
City Island,93878,141796,88406
Erasmus,1111829,2319445,1179619
Lower East Side,5927309,6556861,4874243
Garment District,2282844,4488156,1869492
Madison,541662,1780010,633152
Cobble Hill,456186,1090059,524018
East Village,7685199,9549090,6578149
Hillcrest/Pomonok,546377,1653218,618452
Gowanus,845241,1482662,810750
Carroll Gardens,827290,1779712,935318
Fort Greene,2350551,4876323,2422645
Lincoln Square East,2209124,5405237,2304938
Marine Park/Mill Basin,730089,2237835,903023
Eastchester,805297,2033414,901792
Manhattan Valley,877531,2463844,1119072
Gramercy,3138403,6131687,3007827
Briarwood/Jamaica Hills,565610,1682737,720597
Middle Village,559416,1511484,695164
Mott Haven/Port Morris,2060681,4381512,2048161
Midtown South,4291394,7445971,3606194
Co-Op City,1112382,2776714,1275743
Battery Park City,1328973,3860398,1247060
South Williamsburg,458780,1240209,422013
Cypress Hills,1022030,2314108,1170451
Glendale,651459,1739873,810916
Sunnyside,1725141,4443121,2022820
Saint Albans,1116199,2948286,1273913
Elmhurst/Maspeth,660200,1420914,732404
College Point,398704,981417,442165
Manhattan Beach,386099,807567,381147
Queens Village,694855,1951161,840363
Chinatown,1089641,1760497,989588
Ridgewood,2272390,4111971,2413106
Bedford,3229111,6306656,3384205
Bronxdale,782006,1888917,879972
Melrose South,1392809,3423410,1431959
Midtown North,2900418,6270931,2417343
West Brighton,211992,512707,242720
Steinway,1595997,3442182,1813140
West Village,4839374,6578794,3934566
Baisley Park,915174,2440387,1068248
Brooklyn Heights,1364747,3533418,1654406
Claremont/Bathgate,1107899,2620785,1135480
Sunset Park East,693622,1718267,769651
Breezy Point/Fort Tilden/Riis Beach,26426,53586,48869
Bushwick North,4052418,5127557,3589967
Kips Bay,2093269,4539876,2207804
Laurelton,493789,1296599,554600
Two Bridges/Seward Park,1660522,3450395,1853177
Port Richmond,148776,460836,189473
Financial District South,961434,1860101,753843
Astoria Park,11857,26428,17503
Little Italy/NoLiTa,3285206,5413432,2957702
